"","end","country","load"
"6066",2019-03-03,"France",1226202
"6067",2019-03-04,"France",1427798
"6068",2019-03-05,"France",1467441
"6069",2019-03-06,"France",1461941
"6070",2019-03-07,"France",1442309
"6071",2019-03-08,"France",1459431
"6072",2019-03-09,"France",1304487
"6073",2019-03-10,"France",1209341
"6074",2019-03-11,"France",1445733
"6075",2019-03-12,"France",1513314
"6076",2019-03-13,"France",1515755
"6077",2019-03-14,"France",1536551
"6078",2019-03-15,"France",1453540
"6079",2019-03-16,"France",1260173
"6080",2019-03-17,"France",1242144
"6081",2019-03-18,"France",1482374
"6082",2019-03-19,"France",1499732
"6083",2019-03-20,"France",1476121
"6084",2019-03-21,"France",1425982
"6085",2019-03-22,"France",1376714
"6086",2019-03-23,"France",1226874
"6087",2019-03-24,"France",1162236
"6088",2019-03-25,"France",1355529
"6089",2019-03-26,"France",1405754
"6090",2019-03-27,"France",1402907
"6091",2019-03-28,"France",1375136
"6092",2019-03-29,"France",1328450
"6093",2019-03-30,"France",1172799
"6094",2019-03-31,"France",1107870
"6095",2019-04-01,"France",1200941
"6096",2019-04-02,"France",1299535
"6097",2019-04-03,"France",1427888
"6098",2019-04-04,"France",1467009
"6099",2019-04-05,"France",1432143
"6100",2019-04-06,"France",1291384
"6101",2019-04-07,"France",1219329
"6102",2019-04-08,"France",1365607
"6103",2019-04-09,"France",1364027
"6104",2019-04-10,"France",1366946
"6105",2019-04-11,"France",1366999
"6106",2019-04-12,"France",1369912
"6107",2019-04-13,"France",1272571
"6108",2019-04-14,"France",1254586
"6109",2019-04-15,"France",1251295
"6110",2019-04-16,"France",1352248
"6111",2019-04-17,"France",1292556
"6112",2019-04-18,"France",1230075
"6113",2019-04-19,"France",1171804
"6114",2019-04-20,"France",1040288
"6115",2019-04-21,"France",980935
"6116",2019-04-22,"France",996728
"6117",2019-04-23,"France",1153511
"6118",2019-04-24,"France",1183510
"6119",2019-04-25,"France",1221756
"6120",2019-04-26,"France",1223354
"6121",2019-04-27,"France",1110101
"6122",2019-04-28,"France",1108816
"6123",2019-04-29,"France",1254292
"6124",2019-04-30,"France",1228454
"6125",2019-05-01,"France",1028105
"6126",2019-05-02,"France",1200845
"6127",2019-05-03,"France",1228876
"6128",2019-05-04,"France",1166098
"6129",2019-05-05,"France",1170030
"6130",2019-05-06,"France",1321580
"6131",2019-05-07,"France",1284400
"6132",2019-05-08,"France",1132444
"6133",2019-05-09,"France",1245746
"6134",2019-05-10,"France",1235530
"6135",2019-05-11,"France",1089173
"6136",2019-05-12,"France",1037029
"6137",2019-05-13,"France",1187224
"6138",2019-05-14,"France",1178822
"6139",2019-05-15,"France",1178824
"6140",2019-05-16,"France",1177439
"6141",2019-05-17,"France",1188503
"6142",2019-05-18,"France",1070394
"6143",2019-05-19,"France",1021898
"6144",2019-05-20,"France",1178427
"6145",2019-05-21,"France",1170255
"6146",2019-05-22,"France",1156928
"6147",2019-05-23,"France",1143015
"6148",2019-05-24,"France",1119276
"6149",2019-05-25,"France",994516
"6150",2019-05-26,"France",940705
"6151",2019-05-27,"France",1104971
"6152",2019-05-28,"France",1132597
"6153",2019-05-29,"France",1146802
"6154",2019-05-30,"France",986536
"6155",2019-05-31,"France",1040238
"6156",2019-06-01,"France",972911
"6157",2019-06-02,"France",915174
"6158",2019-06-03,"France",1087796
"6159",2019-06-04,"France",1109013
"6160",2019-06-05,"France",1119618
"6161",2019-06-06,"France",1112090
"6162",2019-06-07,"France",1101928
"6163",2019-06-08,"France",983769
"6164",2019-06-09,"France",930350
"6165",2019-06-10,"France",982540
"6166",2019-06-11,"France",1136432
"6167",2019-06-12,"France",1139013
"6168",2019-06-13,"France",1132488
"6169",2019-06-14,"France",1127237
"6170",2019-06-15,"France",986526
"6171",2019-06-16,"France",932616
"6172",2019-06-17,"France",1106430
"6173",2019-06-18,"France",1133989
"6174",2019-06-19,"France",1123467
"6175",2019-06-20,"France",1119451
"6176",2019-06-21,"France",1108614
"6177",2019-06-22,"France",982965
"6178",2019-06-23,"France",936101
"6179",2019-06-24,"France",1144196
"6180",2019-06-25,"France",1188054
"6181",2019-06-26,"France",1208600
"6182",2019-06-27,"France",1222548
"6183",2019-06-28,"France",1203606
"6184",2019-06-29,"France",1087060
"6185",2019-06-30,"France",1015662
"6186",2019-07-01,"France",1162372
"6187",2019-07-02,"France",1174189
"6188",2019-07-03,"France",1174113
"6189",2019-07-04,"France",1184250
"6190",2019-07-05,"France",1195437
"6191",2019-07-06,"France",1060113
"6192",2019-07-07,"France",985844
"6193",2019-07-08,"France",1142231
"6194",2019-07-09,"France",1078765
"6195",2019-07-10,"France",1149952
"6196",2019-07-11,"France",1163509
"6197",2019-07-12,"France",1148135
"6198",2019-07-13,"France",1018962
"6199",2019-07-14,"France",945170
"6200",2019-07-15,"France",1105268
"6201",2019-07-16,"France",1147926
"6202",2019-07-17,"France",1155616
"6203",2019-07-18,"France",1148755
"6204",2019-07-19,"France",1148716
"6205",2019-07-20,"France",1017221
"6206",2019-07-21,"France",976282
"6207",2019-07-22,"France",1169531
"6208",2019-07-23,"France",1218273
"6209",2019-07-24,"France",1233210
"6210",2019-07-25,"France",1016436
"6211",2019-07-26,"France",1158650
"6212",2019-07-27,"France",980644
"6213",2019-07-28,"France",895338
"6214",2019-07-29,"France",1055915
"6215",2019-07-30,"France",1068874
"6216",2019-07-31,"France",1067335
"6217",2019-08-01,"France",1074219
"6218",2019-08-02,"France",1058676
"6219",2019-08-03,"France",966303
"6220",2019-08-04,"France",921760
"6221",2019-08-05,"France",1029504
"6222",2019-08-06,"France",1040475
"6223",2019-08-07,"France",1027189
"6224",2019-08-08,"France",1049182
"6225",2019-08-09,"France",1042496
"6226",2019-08-10,"France",923056
"6227",2019-08-11,"France",883292
"6228",2019-08-12,"France",964544
"6229",2019-08-13,"France",974941
"6230",2019-08-14,"France",984869
"6231",2019-08-15,"France",894601
"6232",2019-08-16,"France",956812
"6233",2019-08-17,"France",917819
"6234",2019-08-18,"France",887718
"6235",2019-08-19,"France",1007557
"6236",2019-08-20,"France",1028404
"6237",2019-08-21,"France",1032998
"6238",2019-08-22,"France",1044851
"6239",2019-08-23,"France",1050316
"6240",2019-08-24,"France",970072
"6241",2019-08-25,"France",930628
"6242",2019-08-26,"France",1103565
"6243",2019-08-27,"France",1130195
"6244",2019-08-28,"France",1143043
"6245",2019-08-29,"France",1141750
"6246",2019-08-30,"France",1136759
"6247",2019-08-31,"France",999565
"6248",2019-09-01,"France",935452
"6249",2019-09-02,"France",1082993
"6250",2019-09-03,"France",1115965
"6251",2019-09-04,"France",1121587
"6252",2019-09-05,"France",1108248
"6253",2019-09-06,"France",1099921
"6254",2019-09-07,"France",981077
"6255",2019-09-08,"France",938867
"6256",2019-09-09,"France",1114644
"6257",2019-09-10,"France",1134127
"6258",2019-09-11,"France",1136160
"6259",2019-09-12,"France",1138205
"6260",2019-09-13,"France",1122472
"6261",2019-09-14,"France",990905
"6262",2019-09-15,"France",949417
"6263",2019-09-16,"France",1113807
"6264",2019-09-17,"France",1126960
"6265",2019-09-18,"France",1116682
"6266",2019-09-19,"France",1114096
"6267",2019-09-20,"France",1103632
"6268",2019-09-21,"France",984024
"6269",2019-09-22,"France",924221
"6270",2019-09-23,"France",1079444
"6271",2019-09-24,"France",1111092
"6272",2019-09-25,"France",1123182
"6273",2019-09-26,"France",1127537
"6274",2019-09-27,"France",1105890
"6275",2019-09-28,"France",980613
"6276",2019-09-29,"France",941335
"6277",2019-09-30,"France",1105572
"6278",2019-10-01,"France",1130277
"6279",2019-10-02,"France",1138041
"6280",2019-10-03,"France",1179863
"6281",2019-10-04,"France",1165962
"6282",2019-10-05,"France",1042410
"6283",2019-10-06,"France",982912
"6284",2019-10-07,"France",1159768
"6285",2019-10-08,"France",1175228
"6286",2019-10-09,"France",1179886
"6287",2019-10-10,"France",1181386
"6288",2019-10-11,"France",1161223
"6289",2019-10-12,"France",1019914
"6290",2019-10-13,"France",964713
"6291",2019-10-14,"France",1123747
"6292",2019-10-15,"France",1159065
"6293",2019-10-16,"France",1179715
"6294",2019-10-17,"France",1191736
"6295",2019-10-18,"France",1173126
"6296",2019-10-19,"France",1060851
"6297",2019-10-20,"France",1028289
"6298",2019-10-21,"France",1212358
"6299",2019-10-22,"France",1271950
"6300",2019-10-23,"France",1249015
"6301",2019-10-24,"France",1213177
"6302",2019-10-25,"France",1201218
"6303",2019-10-26,"France",1056451
"6304",2019-10-27,"France",959899
"6305",2019-10-28,"France",1248666
"6306",2019-10-29,"France",1290035
"6307",2019-10-30,"France",1302291
"6308",2019-10-31,"France",1275840
"6309",2019-11-01,"France",1117426
"6310",2019-11-02,"France",1087298
"6311",2019-11-03,"France",1100989
"6312",2019-11-04,"France",1286149
"6313",2019-11-05,"France",1355644
"6314",2019-11-06,"France",1378625
"6315",2019-11-07,"France",1418894
"6316",2019-11-08,"France",1476961
"6317",2019-11-09,"France",1373488
"6318",2019-11-10,"France",1331319
"6319",2019-11-11,"France",1358123
"6320",2019-11-12,"France",1533989
"6321",2019-11-13,"France",1580993
"6322",2019-11-14,"France",1635595
"6323",2019-11-15,"France",1659131
