Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,89.24,4.70,23.42,29.94,13.36,133.92,84.27,101.94,81.98,15.88,30.30,55.17
1992,32.78,27.08,31.65,58.66,71.14,64.45,46.34,96.68,124.30,100.72,91.12,104.40
1993,71.89,42.50,48.15,9.15,34.27,44.75,88.12,56.72,124.41,96.49,55.17,83.37
1994,31.25,82.23,21.22,27.87,40.64,65.08,29.81,31.43,42.18,44.41,53.37,20.35
1995,69.43,24.77,22.28,66.49,84.71,94.86,96.84,37.87,46.13,81.55,53.08,35.37
1996,56.10,55.11,44.15,46.19,27.08,86.14,93.12,85.39,97.30,45.12,37.69,30.42
1997,41.77,13.62,25.74,10.26,68.03,38.79,27.40,57.77,75.68,35.60,55.70,13.46
1998,33.82,33.97,9.78,64.05,26.47,88.08,70.41,41.04,70.44,67.17,75.87,34.96
1999,34.17,39.80,52.75,23.19,64.07,49.81,39.01,75.29,42.98,54.66,52.80,73.22
2000,25.75,46.94,25.53,51.43,86.09,48.17,62.86,58.27,85.10,82.40,63.61,24.99
2001,32.74,32.14,50.08,49.86,23.87,60.31,46.27,91.40,58.40,88.55,52.56,31.13
2002,28.79,48.50,23.65,38.01,38.74,61.98,41.49,33.78,48.63,32.54,36.90,31.10
2003,19.65,41.21,24.61,42.85,40.84,68.67,72.02,89.78,52.02,71.82,33.78,57.57
2004,28.41,15.31,17.33,32.74,42.11,79.56,60.88,67.43,63.45,29.57,80.44,65.10
2005,39.63,83.31,15.28,19.32,12.52,78.11,58.07,82.88,64.73,73.28,52.81,42.03
2006,40.72,19.28,17.20,51.11,47.37,24.15,53.74,27.78,40.29,8.74,25.06,14.87
2007,55.89,30.98,37.27,41.34,74.10,72.46,75.23,30.66,36.10,23.67,76.64,63.91
2008,40.39,27.73,22.03,20.80,37.41,33.14,73.34,61.61,32.01,14.59,71.08,73.73
2009,6.84,5.38,30.15,48.16,27.97,51.00,67.75,67.43,78.42,45.88,70.23,33.06
2010,32.84,64.45,67.55,52.58,49.71,50.65,48.89,116.79,69.36,101.39,91.44,107.10
2011,119.30,106.87,59.03,42.30,46.95,47.64,70.60,62.63,48.80,52.54,82.43,46.59
2012,32.77,54.74,101.29,30.29,48.85,79.66,65.71,66.16,44.28,34.65,30.45,31.50
2013,8.34,43.90,31.55,20.82,45.02,96.07,74.35,88.15,60.68,57.90,37.29,40.24
2014,21.47,21.14,39.04,81.38,48.66,86.18,55.09,31.75,45.39,29.37,41.45,45.75
2015,64.87,27.89,17.23,61.59,48.70,42.26,62.06,49.79,34.06,18.74,44.53,27.72
2016,64.83,17.45,38.02,21.13,88.00,80.86,102.65,65.34,131.47,84.43,41.81,42.20
2017,37.45,32.78,36.18,80.21,45.31,13.57,54.97,85.34,48.99,48.52,50.42,81.65
2018,34.10,11.54,19.57,16.23,61.01,55.65,50.09,62.08,22.96,30.31,50.42,71.59
2019,11.30,22.05,28.10,11.52,88.03,67.52,59.12,54.78,43.40,22.82,47.15,11.61
2020,48.77,52.63,42.44,104.12,51.30,43.88,44.30,68.39,,,,
